,Neighborhood,FREQUENCY,Crime_Count_Category,MEAN_Amount,Income_Category,Correlation_Category
0,Adams-Normandie,607,1,29879.0,5,6
1,Arleta,798,1,67089.5,4,5
2,Arlington Heights,685,1,40556.83333333334,5,6
3,Atwater Village,408,1,67923.66666666669,4,5
4,Baldwin Hills/Crenshaw,1835,1,36897.57142857143,5,6
5,Bel-Air,149,1,193877.0,1,2
6,Beverly Crest,221,1,163511.33333333337,1,2
7,Beverly Grove,1209,1,81831.5,4,5
8,Beverlywood,113,1,162269.0,1,2
9,Boyle Heights,4110,3,33624.32,5,8
10,Brentwood,854,1,152898.6,2,3
11,Broadway-Manchester,1693,1,29581.0,5,6
12,Canoga Park,2296,2,54998.53846153847,4,6
13,Carthay,211,1,83063.0,4,5
14,Central-Alameda,1646,1,31972.6,5,6
15,Century City,213,1,120208.0,3,4
16,Chatsworth,1432,1,88222.36363636362,4,5
17,Chatsworth Reservoir,10,1,90000.0,3,4
18,Chesterfield Square,508,1,33326.0,5,6
19,Cheviot Hills,254,1,138964.0,2,3
20,Chinatown,612,1,37401.0,5,6
21,Cypress Park,412,1,39108.66666666666,5,6
22,Del Rey,863,1,69300.0,4,5
23,Downtown,9184,5,41575.75,5,10
24,Eagle Rock,833,1,72020.75,4,5
25,East Hollywood,2669,2,33686.5,5,7
26,Echo Park,1412,1,56739.8888888889,4,5
27,El Sereno,1231,1,47217.545454545456,5,6
28,Elysian Park,194,1,19313.0,5,6
29,Elysian Valley,140,1,49902.66666666666,5,6
30,Encino,1456,1,91719.18181818182,3,4
31,Exposition Park,1736,1,31154.57142857143,5,6
32,Fairfax,950,1,75023.0,4,5
33,Florence,3297,2,32281.30769230769,5,7
34,Glassell Park,614,1,50771.0,5,6
35,Gramercy Park,661,1,50089.5,5,6
36,Granada Hills,1481,1,87427.92857142857,4,5
37,Green Meadows,2278,2,35246.25,5,7
38,Griffith Park,319,1,,1,2
39,Hancock Park,456,1,110340.66666666669,3,4
40,Hansen Dam,74,1,,1,2
41,Harbor City,809,1,58089.85714285714,4,5
42,Harbor Gateway,1456,1,43942.25,5,6
43,Harvard Heights,775,1,31938.333333333325,5,6
44,Harvard Park,721,1,36125.0,5,6
45,Highland Park,1471,1,49657.785714285725,5,6
46,Historic South-Central,2706,2,30647.75,5,7
47,Hollywood,5860,4,39891.72727272727,5,9
48,Hollywood Hills,950,1,81259.66666666669,4,5
49,Hollywood Hills West,665,1,129050.75,2,3
50,Hyde Park,2050,2,36580.6,5,7
51,Jefferson Park,1061,1,37469.83333333334,5,6
52,Koreatown,4587,3,35659.1724137931,5,8
53,Lake Balboa,710,1,66707.42857142857,4,5
54,Lake View Terrace,366,1,57443.0,4,5
55,Larchmont,300,1,64502.0,4,5
56,Leimert Park,1003,1,46581.0,5,6
57,Lincoln Heights,1237,1,32845.0,5,6
58,Los Feliz,1269,1,73661.66666666669,4,5
59,Manchester Square,740,1,40804.5,5,6
60,Mar Vista,756,1,73584.1,4,5
61,Mid-City,1893,2,49997.285714285725,5,7
62,Mid-Wilshire,1551,1,68061.36363636363,4,5
63,Mission Hills,704,1,64268.4,4,5
64,Montecito Heights,440,1,50258.714285714275,5,6
65,Mount Washington,336,1,71125.0,4,5
66,North Hills,2177,2,57634.571428571435,4,6
67,North Hollywood,3634,2,45371.27272727273,5,7
68,Northridge,2378,2,60800.35714285714,4,6
69,Pacific Palisades,562,1,167301.85714285713,1,2
70,Pacoima,2165,2,48119.52631578947,5,7
71,Palms,1034,1,60412.36363636363,4,5
72,Panorama City,2371,2,41163.88888888888,5,7
73,Pico-Robertson,678,1,70988.0,4,5
74,Pico-Union,1570,1,28974.42857142857,5,6
75,Playa del Rey,380,1,101585.0,3,4
76,Playa Vista,351,1,89136.0,3,4
77,Porter Ranch,506,1,118906.14285714286,3,4
78,Rancho Park,258,1,91667.0,3,4
79,Reseda,2147,2,52943.61538461538,5,7
80,San Pedro,2977,2,62306.5,4,6
81,Sawtelle,1366,1,70213.0,4,5
82,Sepulveda Basin,153,1,119063.0,3,4
83,Shadow Hills,381,1,71600.75,4,5
84,Sherman Oaks,2522,2,85750.27777777777,4,6
85,Silver Lake,1144,1,74403.44444444444,4,5
86,South Park,1674,1,29076.125,5,6
87,Studio City,1587,1,90356.33333333331,3,4
88,Sun Valley,2408,2,49066.0,5,7
89,Sunland,417,1,65990.33333333331,4,5
90,Sylmar,2327,2,63091.111111111124,4,6
91,Tarzana,1477,1,86480.5,4,5
92,Toluca Lake,308,1,73656.0,4,5
93,Tujunga,643,1,59574.5,4,5
94,University Park,1278,1,17910.85714285714,5,6
95,Valley Glen,2135,2,48341.86666666666,5,7
96,Valley Village,893,1,54023.0,4,5
97,Van Nuys,4442,3,38938.04,5,8
98,Venice,2445,2,89124.54545454546,3,5
99,Vermont-Slauson,2137,2,29390.5,5,7
100,Vermont Knolls,1715,1,28916.66666666667,5,6
101,Vermont Square,2539,2,32882.0,5,7
102,Vermont Vista,1584,1,32045.833333333325,5,6
103,Watts,2254,2,31187.375,5,7
104,West Adams,973,1,36841.33333333334,5,6
105,West Hills,942,1,98986.27272727272,3,4
106,West Los Angeles,574,1,89532.0,3,4
107,Westchester,2703,2,85814.54545454546,4,6
108,Westlake,4806,3,31372.2,5,8
109,Westwood,1041,1,75076.83333333331,4,5
110,Wilmington,2189,2,43691.33333333334,5,7
111,Windsor Square,264,1,57320.0,4,5
112,Winnetka,1860,2,59477.81818181818,4,6
113,Woodland Hills,2591,2,97433.28571428572,3,5
